Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
,,,,65.00,-52.28,-52.28,-52.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-57.67,-57.67,-57.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-47.39,-47.39,-47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-43.77,-43.77,-43.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-42.83,-42.83,-42.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-44.03,-44.03,-44.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-48.21,-48.21,-48.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-64.47,-64.47,-64.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-51.09,-51.09,-51.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-45.25,-45.25,-45.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-43.38,-43.38,-43.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-43.84,-43.84,-43.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-46.92,-46.92,-46.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-56.43,-56.43,-56.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-54.51,-54.51,-54.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-46.43,-46.43,-46.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-43.76,-43.76,-43.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-43.57,-43.57,-43.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-45.73,-45.73,-45.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-52.02,-52.02,-52.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-59.21,-59.21,-59.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-48.05,-48.05,-48.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-44.45,-44.45,-44.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-43.67,-43.67,-43.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-45.19,-45.19,-45.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-50.17,-50.17,-50.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-81.53,-81.53,-81.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-49.87,-49.87,-49.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-45.07,-45.07,-45.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-43.63,-43.63,-43.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-44.45,-44.45,-44.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-48.04,-48.04,-48.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-59.29,-59.29,-59.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,98.00,-52.54,-52.54,-52.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,99.00,-46.03,-46.03,-46.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
