Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
311.00,-32.70,-41.46,-29.31,12.00,-30.17,-30.17,-30.17,90.00,-32.70,-41.46,-29.31,1070.00,-32.70,-41.46,-29.31,1570.00,-32.70,-41.46,-29.31,1.24,-32.70,-41.46,-29.31,345.00,-32.70,-41.46,-29.31,1030.00,-32.70,-41.46,-29.31,1490.00,-32.70,-41.46,-29.31,
,,,,13.00,-29.89,-29.89,-29.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-29.66,-29.66,-29.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-29.49,-29.49,-29.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-29.37,-29.37,-29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-29.31,-29.31,-29.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-29.29,-29.29,-29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-29.31,-29.31,-29.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-29.37,-29.37,-29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-29.47,-29.47,-29.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-29.58,-29.58,-29.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-29.70,-29.70,-29.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-29.83,-29.83,-29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-29.94,-29.94,-29.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-30.04,-30.04,-30.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-30.12,-30.12,-30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
