Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
269.40,-49.16,-57.93,-46.18,12.00,-46.99,-46.99,-46.99,90.00,-49.16,-57.93,-46.18,1070.00,-49.16,-57.93,-46.18,1570.00,-49.16,-57.93,-46.18,1070.00,-49.16,-57.93,-46.18,1570.00,-49.16,-57.93,-46.18,1030.00,-49.16,-57.93,-46.18,1490.00,-49.16,-57.93,-46.18,
,,,,13.00,-47.07,-47.07,-47.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-47.49,-47.49,-47.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-48.29,-48.29,-48.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-49.54,-49.54,-49.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-51.32,-51.32,-51.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-53.67,-53.67,-53.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-56.04,-56.04,-56.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-56.35,-56.35,-56.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-54.12,-54.12,-54.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-51.61,-51.61,-51.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-49.63,-49.63,-49.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-48.22,-48.22,-48.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-47.28,-47.28,-47.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-46.76,-46.76,-46.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-46.64,-46.64,-46.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-46.89,-46.89,-46.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
