Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
411.80,-46.87,-67.60,-43.05,12.00,-50.84,-50.84,-50.84,90.00,-46.87,-67.60,-43.05,1070.00,-46.87,-67.60,-43.05,1570.00,-46.87,-67.60,-43.05,1070.00,-46.87,-67.60,-43.05,1570.00,-46.87,-67.60,-43.05,1030.00,-46.87,-67.60,-43.05,1490.00,-46.87,-67.60,-43.05,
,,,,65.00,-46.63,-46.63,-46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-44.22,-44.22,-44.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-43.59,-43.59,-43.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-44.51,-44.51,-44.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-47.39,-47.39,-47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-54.55,-54.55,-54.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-59.87,-59.87,-59.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-48.97,-48.97,-48.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-45.07,-45.07,-45.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-43.51,-43.51,-43.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-43.53,-43.53,-43.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-45.11,-45.11,-45.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-49.01,-49.01,-49.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-59.38,-59.38,-59.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-54.79,-54.79,-54.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-47.76,-47.76,-47.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-44.98,-44.98,-44.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-44.21,-44.21,-44.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-45.08,-45.08,-45.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-48.00,-48.00,-48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-55.39,-55.39,-55.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-58.46,-58.46,-58.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-48.81,-48.81,-48.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-45.07,-45.07,-45.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-43.56,-43.56,-43.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-43.58,-43.58,-43.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-45.12,-45.12,-45.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-48.87,-48.87,-48.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-58.68,-58.68,-58.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-56.76,-56.76,-56.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-48.81,-48.81,-48.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-45.90,-45.90,-45.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-45.14,-45.14,-45.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,98.00,-46.14,-46.14,-46.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,99.00,-49.39,-49.39,-49.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100.00,-58.35,-58.35,-58.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,101.00,-57.25,-57.25,-57.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,102.00,-48.72,-48.72,-48.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,103.00,-45.35,-45.35,-45.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104.00,-44.08,-44.08,-44.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,105.00,-44.32,-44.32,-44.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,106.00,-46.16,-46.16,-46.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,107.00,-50.46,-50.46,-50.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108.00,-60.40,-60.40,-60.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,109.00,-53.60,-53.60,-53.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110.00,-47.97,-47.97,-47.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111.00,-45.70,-45.70,-45.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,112.00,-45.34,-45.34,-45.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,113.00,-46.74,-46.74,-46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,114.00,-50.71,-50.71,-50.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,115.00,-62.97,-62.97,-62.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,116.00,-54.35,-54.35,-54.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,117.00,-47.69,-47.69,-47.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118.00,-44.87,-44.87,-44.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,119.00,-43.91,-43.91,-43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,120.00,-44.43,-44.43,-44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
