Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
411.80,-47.31,-64.14,-43.31,12.00,-49.24,-49.24,-49.24,90.00,-47.31,-64.14,-43.31,1070.00,-47.31,-64.14,-43.31,1570.00,-47.31,-64.14,-43.31,1070.00,-47.31,-64.14,-43.31,1570.00,-47.31,-64.14,-43.31,1030.00,-47.31,-64.14,-43.31,1490.00,-47.31,-64.14,-43.31,
,,,,13.00,-45.96,-45.96,-45.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-44.94,-44.94,-44.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-45.67,-45.67,-45.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-48.59,-48.59,-48.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-56.58,-56.58,-56.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-57.32,-57.32,-57.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-48.10,-48.10,-48.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-44.38,-44.38,-44.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-42.79,-42.79,-42.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-42.66,-42.66,-42.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-43.95,-43.95,-43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-47.18,-47.18,-47.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-54.63,-54.63,-54.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-58.14,-58.14,-58.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-49.05,-49.05,-49.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-45.70,-45.70,-45.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-44.71,-44.71,-44.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-45.52,-45.52,-45.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-48.56,-48.56,-48.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-56.99,-56.99,-56.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-57.60,-57.60,-57.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-48.29,-48.29,-48.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-44.72,-44.72,-44.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-43.31,-43.31,-43.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-43.41,-43.41,-43.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-45.06,-45.06,-45.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-48.97,-48.97,-48.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-59.57,-59.57,-59.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-56.35,-56.35,-56.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-48.79,-48.79,-48.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-46.13,-46.13,-46.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
