Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
274.00,-33.25,-38.53,-30.67,12.00,-31.61,-31.61,-31.61,90.00,-33.25,-38.53,-30.67,1070.00,-33.25,-38.53,-30.67,1570.00,-33.25,-38.53,-30.67,1.24,-33.25,-38.53,-30.67,345.00,-33.25,-38.53,-30.67,1030.00,-33.25,-38.53,-30.67,1490.00,-33.25,-38.53,-30.67,
,,,,13.00,-31.31,-31.31,-31.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-31.07,-31.07,-31.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-30.88,-30.88,-30.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-30.75,-30.75,-30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-30.67,-30.67,-30.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-30.64,-30.64,-30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-30.67,-30.67,-30.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-30.74,-30.74,-30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-30.87,-30.87,-30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-31.04,-31.04,-31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-31.25,-31.25,-31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-31.50,-31.50,-31.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-31.77,-31.77,-31.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-32.07,-32.07,-32.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-32.37,-32.37,-32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-32.65,-32.65,-32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-32.91,-32.91,-32.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-33.12,-33.12,-33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-33.26,-33.26,-33.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-33.32,-33.32,-33.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-33.30,-33.30,-33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
