Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
447.00,-28.91,-45.56,-25.29,12.00,-26.24,-26.24,-26.24,90.00,-28.91,-45.56,-25.29,1070.00,-28.91,-45.56,-25.29,1570.00,-28.91,-45.56,-25.29,1.24,-28.91,-45.56,-25.29,345.00,-28.91,-45.56,-25.29,1030.00,-28.91,-45.56,-25.29,1490.00,-28.91,-45.56,-25.29,
,,,,13.00,-26.49,-26.49,-26.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-26.78,-26.78,-26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-27.06,-27.06,-27.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-27.24,-27.24,-27.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-27.26,-27.26,-27.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-27.09,-27.09,-27.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-26.78,-26.78,-26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-26.39,-26.39,-26.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-25.97,-25.97,-25.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-25.61,-25.61,-25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-25.34,-25.34,-25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-25.19,-25.19,-25.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-25.17,-25.17,-25.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-25.29,-25.29,-25.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-25.55,-25.55,-25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-25.95,-25.95,-25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-26.48,-26.48,-26.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-27.12,-27.12,-27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-27.85,-27.85,-27.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-28.60,-28.60,-28.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-29.31,-29.31,-29.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-29.86,-29.86,-29.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-30.16,-30.16,-30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-30.15,-30.15,-30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-29.87,-29.87,-29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-29.40,-29.40,-29.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-28.85,-28.85,-28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-28.30,-28.30,-28.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-27.82,-27.82,-27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-27.44,-27.44,-27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-27.18,-27.18,-27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-27.05,-27.05,-27.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-27.06,-27.06,-27.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-27.20,-27.20,-27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-27.45,-27.45,-27.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-27.78,-27.78,-27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-28.14,-28.14,-28.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-28.45,-28.45,-28.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-28.62,-28.62,-28.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-28.58,-28.58,-28.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-28.33,-28.33,-28.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-27.93,-27.93,-27.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-27.46,-27.46,-27.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-27.03,-27.03,-27.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-26.69,-26.69,-26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-26.48,-26.48,-26.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-26.43,-26.43,-26.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-26.54,-26.54,-26.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-26.83,-26.83,-26.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-27.28,-27.28,-27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-27.87,-27.87,-27.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-28.55,-28.55,-28.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-29.25,-29.25,-29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-29.87,-29.87,-29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-30.29,-30.29,-30.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-30.45,-30.45,-30.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-30.37,-30.37,-30.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-30.15,-30.15,-30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-29.88,-29.88,-29.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-29.67,-29.67,-29.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-29.55,-29.55,-29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-29.55,-29.55,-29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-29.69,-29.69,-29.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-29.95,-29.95,-29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-30.33,-30.33,-30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-30.82,-30.82,-30.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-31.41,-31.41,-31.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-32.09,-32.09,-32.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-32.84,-32.84,-32.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-33.59,-33.59,-33.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.00,-34.22,-34.22,-34.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84.00,-34.56,-34.56,-34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85.00,-34.42,-34.42,-34.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,86.00,-33.76,-33.76,-33.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87.00,-32.77,-32.77,-32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,88.00,-31.67,-31.67,-31.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89.00,-30.63,-30.63,-30.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.00,-29.73,-29.73,-29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,91.00,-29.03,-29.03,-29.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,92.00,-28.54,-28.54,-28.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,93.00,-28.27,-28.27,-28.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,94.00,-28.23,-28.23,-28.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,95.00,-28.43,-28.43,-28.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96.00,-28.85,-28.85,-28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,97.00,-29.51,-29.51,-29.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,98.00,-30.38,-30.38,-30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,99.00,-31.39,-31.39,-31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100.00,-32.41,-32.41,-32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,101.00,-33.19,-33.19,-33.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,102.00,-33.49,-33.49,-33.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,103.00,-33.27,-33.27,-33.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104.00,-32.75,-32.75,-32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,105.00,-32.20,-32.20,-32.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,106.00,-31.81,-31.81,-31.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,107.00,-31.65,-31.65,-31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108.00,-31.80,-31.80,-31.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,109.00,-32.27,-32.27,-32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110.00,-33.12,-33.12,-33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111.00,-34.38,-34.38,-34.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,112.00,-36.15,-36.15,-36.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,113.00,-38.55,-38.55,-38.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,114.00,-41.74,-41.74,-41.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,115.00,-45.56,-45.56,-45.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,116.00,-47.65,-47.65,-47.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,117.00,-46.09,-46.09,-46.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118.00,-44.25,-44.25,-44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,119.00,-43.42,-43.42,-43.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,120.00,-43.67,-43.67,-43.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
