Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
294.00,-38.01,-44.93,-32.99,12.00,-31.60,-31.60,-31.60,90.00,-38.01,-44.93,-32.99,1070.00,-38.01,-44.93,-32.99,1570.00,-38.01,-44.93,-32.99,1.24,-38.01,-44.93,-32.99,345.00,-38.01,-44.93,-32.99,1030.00,-38.01,-44.93,-32.99,1490.00,-38.01,-44.93,-32.99,
,,,,13.00,-32.23,-32.23,-32.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-32.99,-32.99,-32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-33.85,-33.85,-33.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-34.78,-34.78,-34.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-35.74,-35.74,-35.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-36.69,-36.69,-36.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-37.58,-37.58,-37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-38.33,-38.33,-38.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-38.86,-38.86,-38.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-39.13,-39.13,-39.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-39.13,-39.13,-39.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-38.95,-38.95,-38.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-38.69,-38.69,-38.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-38.46,-38.46,-38.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-38.31,-38.31,-38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-38.28,-38.28,-38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-38.33,-38.33,-38.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
