Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
465.40,-46.68,-61.82,-41.72,12.00,-43.96,-43.96,-43.96,90.00,-46.68,-61.82,-41.72,1070.00,-46.68,-61.82,-41.72,1570.00,-46.68,-61.82,-41.72,1070.00,-46.68,-61.82,-41.72,1570.00,-46.68,-61.82,-41.72,1030.00,-46.68,-61.82,-41.72,1490.00,-46.68,-61.82,-41.72,
,,,,13.00,-44.47,-44.47,-44.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-47.81,-47.81,-47.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-58.36,-58.36,-58.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-51.00,-51.00,-51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-44.41,-44.41,-44.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-41.72,-41.72,-41.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-41.09,-41.09,-41.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-42.24,-42.24,-42.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-45.77,-45.77,-45.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-55.09,-55.09,-55.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-53.31,-53.31,-53.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-46.06,-46.06,-46.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-43.78,-43.78,-43.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-44.07,-44.07,-44.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-47.20,-47.20,-47.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-57.88,-57.88,-57.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-52.00,-52.00,-52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-44.66,-44.66,-44.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-41.80,-41.80,-41.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-41.10,-41.10,-41.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-42.21,-42.21,-42.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-45.65,-45.65,-45.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-54.91,-54.91,-54.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-55.15,-55.15,-55.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-46.81,-46.81,-46.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-44.37,-44.37,-44.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-44.62,-44.62,-44.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-47.66,-47.66,-47.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-57.73,-57.73,-57.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-53.54,-53.54,-53.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-45.97,-45.97,-45.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-43.20,-43.20,-43.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-42.73,-42.73,-42.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-44.26,-44.26,-44.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-48.70,-48.70,-48.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-61.82,-61.82,-61.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-51.25,-51.25,-51.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-46.01,-46.01,-46.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-44.45,-44.45,-44.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-45.25,-45.25,-45.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-48.84,-48.84,-48.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-57.49,-57.49,-57.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
