Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
753.00,-31.55,-46.11,-27.18,12.00,-30.12,-30.12,-30.12,90.00,-31.55,-46.11,-27.18,1070.00,-31.55,-46.11,-27.18,1570.00,-31.55,-46.11,-27.18,1.24,-31.55,-46.11,-27.18,345.00,-31.55,-46.11,-27.18,1030.00,-31.55,-46.11,-27.18,1490.00,-31.55,-46.11,-27.18,
,,,,13.00,-29.09,-29.09,-29.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14.00,-29.58,-29.58,-29.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.00,-31.43,-31.43,-31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.00,-34.32,-34.32,-34.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.00,-34.96,-34.96,-34.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.00,-32.21,-32.21,-32.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.00,-29.98,-29.98,-29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.00,-29.14,-29.14,-29.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.00,-29.72,-29.72,-29.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.00,-32.10,-32.10,-32.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.00,-37.46,-37.46,-37.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.00,-43.36,-43.36,-43.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.00,-34.83,-34.83,-34.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26.00,-30.68,-30.68,-30.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27.00,-28.88,-28.88,-28.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28.00,-28.71,-28.71,-28.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.00,-30.05,-30.05,-30.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30.00,-33.61,-33.61,-33.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.00,-41.09,-41.09,-41.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32.00,-37.61,-37.61,-37.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33.00,-31.49,-31.49,-31.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34.00,-28.48,-28.48,-28.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35.00,-27.25,-27.25,-27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.00,-27.35,-27.35,-27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.00,-28.76,-28.76,-28.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.00,-32.04,-32.04,-32.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.00,-39.73,-39.73,-39.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.00,-44.35,-44.35,-44.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.00,-33.92,-33.92,-33.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.00,-30.22,-30.22,-30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.00,-28.70,-28.70,-28.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44.00,-28.67,-28.67,-28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45.00,-30.00,-30.00,-30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.00,-33.06,-33.06,-33.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47.00,-39.61,-39.61,-39.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.00,-44.61,-44.61,-44.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49.00,-35.64,-35.64,-35.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.00,-31.78,-31.78,-31.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51.00,-30.11,-30.11,-30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.00,-29.69,-29.69,-29.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,53.00,-30.34,-30.34,-30.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.00,-32.18,-32.18,-32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55.00,-35.41,-35.41,-35.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56.00,-39.16,-39.16,-39.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.00,-37.88,-37.88,-37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,58.00,-34.13,-34.13,-34.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59.00,-31.69,-31.69,-31.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.00,-30.62,-30.62,-30.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61.00,-30.69,-30.69,-30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.00,-32.13,-32.13,-32.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63.00,-35.76,-35.76,-35.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,64.00,-46.15,-46.15,-46.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.00,-41.56,-41.56,-41.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66.00,-33.52,-33.52,-33.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67.00,-29.99,-29.99,-29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68.00,-28.39,-28.39,-28.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69.00,-28.16,-28.16,-28.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.00,-29.31,-29.31,-29.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.00,-32.41,-32.41,-32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72.00,-40.20,-40.20,-40.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73.00,-42.80,-42.80,-42.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,74.00,-32.77,-32.77,-32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75.00,-28.82,-28.82,-28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76.00,-26.99,-26.99,-26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77.00,-26.55,-26.55,-26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78.00,-27.30,-27.30,-27.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79.00,-29.30,-29.30,-29.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80.00,-32.64,-32.64,-32.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81.00,-35.14,-35.14,-35.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.00,-32.67,-32.67,-32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
